depth_mm,f_mhz,P_mpa,DC,eta,t_first_hr,n_sessions,spacing_hr,mean_gm2_day365,std_gm2_day365,reduction_pct
28.9968,0.6266,0.2805,0.02225,0.64427,49.041,1,73.395,43.6532,36.0844,66.6729
45.6943,0.8565,0.4640,0.01800,0.62950,21.768,1,76.588,29.9192,12.4341,77.1582
27.3536,0.8975,0.4098,0.02257,0.74808,75.201,5,74.206,28.8833,11.1010,77.9490
57.0904,0.9411,0.4414,0.01298,0.39463,18.535,2,42.278,61.3568,62.4373,53.1571
27.3657,0.7129,0.1542,0.01814,0.33779,51.404,2,41.060,30.9908,9.4705,76.3400
44.3812,1.0093,0.2741,0.02367,0.47485,31.728,4,13.507,30.0396,13.4325,77.0663
55.8267,0.4877,0.3652,0.00847,0.29855,72.504,5,63.013,39.0930,13.7379,70.1544
46.9868,0.5298,0.1758,0.02230,0.40000,20.514,2,25.494,38.0784,11.9202,70.9290
45.8022,0.4937,0.4935,0.01604,0.64636,66.176,1,81.123,42.8695,25.0573,67.2712
44.1431,1.0829,0.4018,0.01678,0.50877,24.848,4,51.251,39.6837,12.1103,69.7034
27.0167,0.4895,0.3412,0.02240,0.76259,32.410,5,22.114,32.1362,12.5386,75.4656
57.0770,1.0723,0.1779,0.01253,0.16617,43.382,4,36.235,51.3462,44.3888,60.7996
